year_of_survey,verbatim:_reasons_for_their_satisfaction_ratingss,verbatim:_suggested_areas_of_improvement
2020,"It is very good, fast and convenient",He is already a very good guy
2020,"To be honest I feel that it is reliable cheap and effective. In all of my rides using the red line, I have rarely had a train disruption. Furthermore the wait times are at most 5 minutes which I very short. Hence I am very satisfied",I think maybe getting more carriages as it is about crowded on peak hours.
2020,I have no complaints with my ride. They are doing a good job.,More frequency of buses
2020,it is good and reliable and safe,frequency of train
2020,Giod,Good
2020,so far so good,nothing to add
2020,Bus 238 is very frequent.    Bus captains are quite friendly.  Bus rides are smooth.,Nothing as my journey is less than 10 minutes.
2020,I rated it 1.99,everything
2020,Excellent,
2020,Condition of the bus,Short distance fare
2020,Good,Waiting time
2020,i believe that its a good train line but gets too crowded often and needs more management from government to reduce the overcrowdedness.,management of the overall system
2020,It does it job getting me where I need quickly,Wider and more comfortable seats
2020,Satisfactory,Shorter intervals between arrivals
2020,"Kind,fast,easy,convenient","Perfect,nothing to improve on in my opinion"
2020,Good services,None
2020,Goos,Ok
2020,generally quite on time as compared to the timing stated on the app i used,fare
2020,The counter that got customer service counter one always closed. My card expired and have to pay single trip fare.,Improve the expired cardt to electronically
2020,Trains can be stuffy during peak hours,Better reliable and air conditioning in the trains
2020,No train delay or train break down so far,More train frequency to ease over crowding
2020,it has been very smooth and very reliable :),the frequency of trains since the trains always gets very packed
2020,The ride was better compared to other taxi/cab companies,It could be cheaper
2020,"Among the train networks in SG, i personally think the NE line has one of the least problem. Of course, the reason is partially because its not as old compared to some of the others and also, it does not travel as far. But due to the covid situation, the",Not really. Its quite good as it is
2020,Ride circle line every single day and I have no complaints about it as the train reaches on time same schedule as I expected. Although there is a delayed or problem sometimes but it doesn't give me any reason to complain since the operator can easily fix,I think circle can improve the railroad. It's too shaky and give me headache sometimes. Other than that it's okay.
2020,no comment,no comment
2020,Excellent services,Charges reduction
2020,Purple line breakdown not so frequently,"Increase the number of train, because it is too hard to on board when it is during 8-9 Am"
2020,"I have had no issues with the bus frequency, arrival times, journey discomfort etc, so no need to complain..","During peak hours the time taken to reach final destination is very long, they can improve the travel time by reducing the number of stops, meaning stop at only few locations, this can distribute the overload & only carry passengers that alight at designa"
